,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,aptCode,aptName,disQuantity,dayAverQuantity,disCount,dayAverCount
3,2020,06,4,4,W01,서울특별시,종로구,W01035,청기와빌라2차,23600,5900,20,5
4,2020,06,5,4,W01,서울특별시,종로구,W01035,청기와빌라2차,20150,5037,16,4
5,2020,06,6,4,W01,서울특별시,종로구,W01035,청기와빌라2차,22000,5500,21,5
6,2020,06,7,4,W01,서울특별시,종로구,W01035,청기와빌라2차,8000,2000,11,2
0,2020,06,1,4,W01,서울특별시,종로구,W01036,중앙빌라,83700,20925,61,15
1,2020,06,2,5,W01,서울특별시,종로구,W01036,중앙빌라,131500,26300,94,18
2,2020,06,3,5,W01,서울특별시,종로구,W01036,중앙빌라,112800,22560,84,16
3,2020,06,4,4,W01,서울특별시,종로구,W01036,중앙빌라,85350,21337,59,14
4,2020,06,5,4,W01,서울특별시,종로구,W01036,중앙빌라,103750,25937,59,14
5,2020,06,6,4,W01,서울특별시,종로구,W01036,중앙빌라,114650,28662,64,16
6,2020,06,7,4,W01,서울특별시,종로구,W01036,중앙빌라,89350,22337,69,17
0,2020,06,1,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,517250,129312,470,117
1,2020,06,2,5,W01,서울특별시,종로구,W01037,경희궁자이1단지,508850,101770,490,98
2,2020,06,3,5,W01,서울특별시,종로구,W01037,경희궁자이1단지,488300,97660,466,93
3,2020,06,4,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,327550,81887,298,74
4,2020,06,5,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,356600,89150,334,83
5,2020,06,6,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,345950,86487,350,87
6,2020,06,7,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,440500,110125,391,97
0,2020,06,1,4,W01,서울특별시,종로구,W01038,숭인상가아파트,208000,52000,127,31
1,2020,06,2,5,W01,서울특별시,종로구,W01038,숭인상가아파트,186550,37310,149,29
2,2020,06,3,5,W01,서울특별시,종로구,W01038,숭인상가아파트,167850,33570,123,24
3,2020,06,4,4,W01,서울특별시,종로구,W01038,숭인상가아파트,176700,44175,129,32
4,2020,06,5,4,W01,서울특별시,종로구,W01038,숭인상가아파트,153000,38250,109,27
5,2020,06,6,4,W01,서울특별시,종로구,W01038,숭인상가아파트,162250,40562,115,28
6,2020,06,7,4,W01,서울특별시,종로구,W01038,숭인상가아파트,160350,40087,113,28
0,2020,06,1,4,W01,서울특별시,종로구,W01039,금강파크빌라,231700,57925,141,35
1,2020,06,2,5,W01,서울특별시,종로구,W01039,금강파크빌라,229300,45860,145,29
2,2020,06,3,5,W01,서울특별시,종로구,W01039,금강파크빌라,197900,39580,148,29
3,2020,06,4,4,W01,서울특별시,종로구,W01039,금강파크빌라,122200,30550,75,18
4,2020,06,5,4,W01,서울특별시,종로구,W01039,금강파크빌라,146550,36637,103,25
5,2020,06,6,4,W01,서울특별시,종로구,W01039,금강파크빌라,133700,33425,91,22
6,2020,06,7,4,W01,서울특별시,종로구,W01039,금강파크빌라,175500,43875,116,29
0,2020,06,1,4,W01,서울특별시,종로구,W0103A,평창롯데,224850,56212,129,32
1,2020,06,2,5,W01,서울특별시,종로구,W0103A,평창롯데,376100,75220,195,39
2,2020,06,3,5,W01,서울특별시,종로구,W0103A,평창롯데,262850,52570,149,29
3,2020,06,4,4,W01,서울특별시,종로구,W0103A,평창롯데,197150,49287,111,27
4,2020,06,5,4,W01,서울특별시,종로구,W0103A,평창롯데,222850,55712,121,30
5,2020,06,6,4,W01,서울특별시,종로구,W0103A,평창롯데,241550,60387,125,31
6,2020,06,7,4,W01,서울특별시,종로구,W0103A,평창롯데,242100,60525,127,31
0,2020,06,1,4,W01,서울특별시,종로구,W0103B,대성스카이렉스,123150,30787,79,19
1,2020,06,2,5,W01,서울특별시,종로구,W0103B,대성스카이렉스,147850,29570,116,23
2,2020,06,3,5,W01,서울특별시,종로구,W0103B,대성스카이렉스,139500,27900,95,19
3,2020,06,4,4,W01,서울특별시,종로구,W0103B,대성스카이렉스,116550,29137,77,19
4,2020,06,5,4,W01,서울특별시,종로구,W0103B,대성스카이렉스,115300,28825,80,20
5,2020,06,6,4,W01,서울특별시,종로구,W0103B,대성스카이렉스,96950,24237,82,20
6,2020,06,7,4,W01,서울특별시,종로구,W0103B,대성스카이렉스,114300,28575,88,22
0,2020,06,1,4,W01,서울특별시,종로구,W0103C,운현궁SK허브,72650,18162,77,19
1,2020,06,2,5,W01,서울특별시,종로구,W0103C,운현궁SK허브,75900,15180,80,16
2,2020,06,3,5,W01,서울특별시,종로구,W0103C,운현궁SK허브,177800,35560,94,18
3,2020,06,4,4,W01,서울특별시,종로구,W0103C,운현궁SK허브,86000,21500,61,15
4,2020,06,5,4,W01,서울특별시,종로구,W0103C,운현궁SK허브,115150,28787,68,17
5,2020,06,6,4,W01,서울특별시,종로구,W0103C,운현궁SK허브,124750,31187,64,16
6,2020,06,7,4,W01,서울특별시,종로구,W0103C,운현궁SK허브,79200,19800,69,17
0,2020,06,1,4,W01,서울특별시,종로구,W0103D,포레스트힐시티,52050,13012,52,13
1,2020,06,2,5,W01,서울특별시,종로구,W0103D,포레스트힐시티,27750,5550,43,8
2,2020,06,3,5,W01,서울특별시,종로구,W0103D,포레스트힐시티,32900,6580,40,8
